cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,blank_col_14,format,stat_type,source,source_url
10633,10633,AR Caddick,ENG,AR Caddick (ENG),1993-2003,54,38,18,249,36,12.45,395,63.03,0,0,6,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
49552,49552,GF Labrooy,SL,GF Labrooy (SL),1986-1992,44,36,7,249,33,8.58,350,71.14,0,0,6,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
764321,764321,DE Budge,SCOT,DE Budge (SCOT),2018-2022,17,15,4,248,46*,22.54,312,79.48,0,0,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
38113,38113,JM Parker,NZ,JM Parker (NZ),1974-1981,24,20,0,248,66,12.4,403,61.53,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
38249,38249,RB Reid,NZ,RB Reid (NZ),1988-1991,9,9,0,248,64,27.55,448,55.35,0,2,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
38707,38707,RH Vance,NZ,RH Vance (NZ),1988-1989,8,8,0,248,96,31,481,51.55,0,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
24725,24725,MA Suji,KENYA,MA Suji (KENYA),1996-2006,64,52,22,247,16*,8.23,526,46.95,0,0,9,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
7989,7989,A Turner,AUS,A Turner (AUS),1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
16932,16932,AD Mascarenhas,ENG,AD Mascarenhas (ENG),2007-2009,20,13,2,245,52,22.27,257,95.33,0,1,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
12450,12450,SM Davies,ENG,SM Davies (ENG),2009-2011,8,8,0,244,87,30.5,231,105.62,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
49619,49619,RAS Lakmal,SL,RAS Lakmal (SL),2009-2021,86,48,22,244,26,9.38,404,60.39,0,0,9,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
216920,216920,Qaiser Ali,CAN,Qaiser Ali (CAN),2006-2008,17,17,1,244,70,15.25,383,63.7,0,2,3,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
1195667,1195667,JAD Lawrenson,JER,JAD Lawrenson (JER),2023-2023,5,5,0,243,114,48.6,312,77.88,1,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
571703,571703,WP Masakadza,ZIM,WP Masakadza (ZIM),2015-2025,42,26,4,243,40,11.04,386,62.95,0,0,5,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
1457977,1457977,AR Odedara,OMA,AR Odedara (OMA),2024-2026,10,10,1,243,54*,27,464,52.37,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
32231,32231,BP Patel,IND,BP Patel (IND),1974-1979,10,9,1,243,82,30.37,399,60.9,0,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
11931,11931,PR Downton,ENG,PR Downton (ENG),1977-1988,28,20,5,242,44*,16.13,358,67.59,0,0,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
40378,40378,Hasan Raza,PAK,Hasan Raza (PAK),1996-1999,16,13,0,242,77,18.61,480,50.41,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
4951,4951,MJ Di Venuto,AUS,MJ Di Venuto (AUS),1997-1997,9,9,0,241,89,26.77,281,85.76,0,2,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
295644,295644,GD Drummond,SCOT,GD Drummond (SCOT),2007-2013,30,20,7,240,35*,18.46,262,91.6,0,0,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
6295,6295,DK Lillee,AUS,DK Lillee (AUS),1972-1983,63,34,8,240,42*,9.23,320,75,0,0,6,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
25123,25123,CM Wright,SCOT,CM Wright (SCOT),2006-2009,20,18,3,240,37,16,351,68.37,0,0,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
25613,25613,Amjad Javed,UAE,Amjad Javed (UAE),2008-2017,15,13,1,239,56,19.91,267,89.51,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
48835,48835,CRD Fernando,Asia/SL,CRD Fernando (Asia/SL),2001-2012,147,61,35,239,20,9.19,392,60.96,0,0,9,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
51876,51876,J Garner,WI,J Garner (WI),1977-1987,98,41,15,239,37,9.19,360,66.38,0,0,5,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
55705,55705,T Panyangara,ZIM,T Panyangara (ZIM),2004-2016,65,49,13,239,33,6.63,463,51.61,0,0,9,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
55235,55235,KJ Arnott,ZIM,KJ Arnott (ZIM),1987-1993,13,12,2,238,60,23.8,491,48.47,0,3,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
248920,248920,DC Thomas,WI,DC Thomas (WI),2009-2013,21,19,2,238,37,14,364,65.38,0,0,3,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
410765,410765,Nurul Hasan,BAN,Nurul Hasan (BAN),2016-2025,13,11,4,237,45*,33.85,256,92.57,0,0,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
19276,19276,NS Poonia,SCOT,NS Poonia (SCOT),2006-2009,21,21,0,237,67,11.28,377,62.86,0,1,7,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
1195664,1195664,AM Tribe,JER,AM Tribe (JER),2023-2023,5,5,1,237,115*,59.25,321,73.83,1,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
328026,328026,I Udana,SL,I Udana (SL),2012-2021,21,18,4,237,78,16.92,249,95.18,0,1,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
