cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,blank_col_12,format,stat_type,source,source_url
8189,8189,ME Waugh,AUS,ME Waugh (AUS),1988-2002,244,243,108,108,0,0,108,3 (3ct 0st),0.444,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
34102,34102,RG Sharma,IND,RG Sharma (IND),2007-2026,285,283,107,107,0,0,107,3 (3ct 0st),0.378,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
4578,4578,MJ Clarke,AUS,MJ Clarke (AUS),2003-2015,245,243,106,106,0,0,106,4 (4ct 0st),0.436,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
326434,326434,AT Carey,AUS,AT Carey (AUS),2018-2026,91,91,105,96,9,88,8,5 (4ct 1st),1.153,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
5939,5939,MEK Hussey,AUS,MEK Hussey (AUS),2004-2012,185,184,105,105,0,0,105,3 (3ct 0st),0.57,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
46973,46973,JN Rhodes,SA,JN Rhodes (SA),1992-2003,245,242,105,105,0,0,105,5 (5ct 0st),0.433,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
47270,47270,GC Smith,Afr/SA,GC Smith (Afr/SA),2002-2013,197,196,105,105,0,0,105,4 (4ct 0st),0.535,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
226492,226492,MJ Guptill,NZ,MJ Guptill (NZ),2009-2022,198,196,104,104,0,0,104,4 (4ct 0st),0.53,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
24289,24289,NJ O'Brien,IRE,NJ O'Brien (IRE),2006-2018,103,99,104,90,14,82,8,5 (5ct 0st),1.05,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
42626,42626,Saleem Yousuf,PAK,Saleem Yousuf (PAK),1982-1990,86,86,103,81,22,81,0,4 (3ct 1st),1.197,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
33335,33335,SK Raina,IND,SK Raina (IND),2005-2018,226,223,102,102,0,0,102,3 (3ct 0st),0.457,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
28779,28779,SC Ganguly,Asia/IND,SC Ganguly (Asia/IND),1992-2007,311,309,100,100,0,0,100,3 (3ct 0st),0.323,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
52812,52812,IVA Richards,WI,IVA Richards (WI),1975-1991,187,186,100,100,0,0,100,3 (3ct 0st),0.537,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
