cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
444135,444135,Sohag Gazi,BAN,Sohag Gazi (BAN),2012-2015,10,7,3,57,24,14.25,59,96.61,0,0,0,3,1
267454,267454,RJ Trott,BER,RJ Trott (BER),2008-2021,21,11,5,57,19,9.5,91,62.63,0,0,2,3,1
1167766,1167766,S Yeshey,BHU,S Yeshey (BHU),2022-2026,39,19,7,57,13*,4.75,85,67.05,0,0,7,5,2
1323454,1323454,V Zanko,CRT,V Zanko (CRT),2023-2025,11,9,0,57,16,6.33,150,38,0,0,3,6,0
469121,469121,MJ Ansell,IOM,MJ Ansell (IOM),2020-2026,27,13,4,56,17,6.22,72,77.77,0,0,2,2,3
296702,296702,PL Bruno,ARG,PL Bruno (ARG),2021-2021,6,5,1,56,27,14,79,70.88,0,0,0,2,0
37265,37265,JM How,NZ,JM How (NZ),2007-2008,5,5,0,56,31,11.2,67,83.58,0,0,0,5,1
1283109,1283109,YYM Jakda,LES,YYM Jakda (LES),2021-2026,19,17,1,56,16,3.5,59,94.91,0,0,6,5,3
1089813,1089813,Javid Patel,Zamb,Javid Patel (Zamb),2025-2025,10,9,0,56,16,6.22,84,66.66,0,0,1,2,3
1082744,1082744,Muhaddis Muhaddis,INA,Muhaddis Muhaddis (INA),2023-2023,4,3,0,56,34,18.66,56,100,0,0,0,6,1
1437346,1437346,Rameez Khan,ROM,Rameez Khan (ROM),2024-2025,13,9,3,56,23,9.33,53,105.66,0,0,0,4,3
1156454,1156454,MJ Ross,ITA,MJ Ross (ITA),2019-2019,8,5,1,56,34,14,42,133.33,0,0,0,2,3
273439,273439,SMSM Senanayake,SL,SMSM Senanayake (SL),2012-2016,24,12,6,56,17,9.33,66,84.84,0,0,2,3,1
1070754,1070754,A Simelane,SA,A Simelane (SA),2024-2025,10,8,1,56,13,8,57,98.24,0,0,0,4,2
1209314,1209314,VN Veetil,QAT,VN Veetil (QAT),2022-2022,7,4,2,56,53,28,55,101.81,0,1,1,2,3
523217,523217,S Waqas Ahmed,NOR,S Waqas Ahmed (NOR),2019-2021,10,8,4,56,32*,14,70,80,0,0,1,4,0
1496498,1496498,Zeeshan Ali,EST,Zeeshan Ali (EST),2025-2025,6,6,1,56,17,11.2,62,90.32,0,0,1,1,3
1440961,1440961,B Balala,MWI,B Balala (MWI),2024-2026,27,16,9,55,13*,7.85,99,55.55,0,0,2,2,0
919493,919493,C Carter,HKG,C Carter (HKG),2015-2017,10,5,1,55,17,13.75,63,87.3,0,0,0,3,0
51659,51659,N Deonarine,WI,N Deonarine (WI),2010-2013,8,7,2,55,36*,11,53,103.77,0,0,3,5,0
5681,5681,GB Hogg,AUS,GB Hogg (AUS),2006-2014,15,4,0,55,41,13.75,39,141.02,0,0,0,3,3
332996,332996,KM Jarvis,ZIM,KM Jarvis (ZIM),2011-2019,22,12,5,55,27,7.85,64,85.93,0,0,4,1,4
1399993,1399993,K Kato-Stafford,JPN,K Kato-Stafford (JPN),2024-2025,12,8,4,55,21,13.75,45,122.22,0,0,2,7,1
1241280,1241280,Nilansh Keswani,UAE,Nilansh Keswani (UAE),2023-2026,13,7,5,55,31*,27.5,51,107.84,0,0,1,5,0
1273412,1273412,I Ntirenganya,RWN,I Ntirenganya (RWN),2022-2026,56,27,16,55,16*,5,88,62.5,0,0,6,5,0
1438797,1438797,R Siriwardena,CYP,R Siriwardena (CYP),2024-2026,18,11,6,55,18*,11,80,68.75,0,0,0,6,0
1539182,1539182,Sufyan Naseeb,SWZ,Sufyan Naseeb (SWZ),2026-2026,7,6,0,55,38,9.16,39,141.02,0,0,2,7,2
1273410,1273410,P Vekaria,RWN,P Vekaria (RWN),2021-2021,8,6,4,55,20,27.5,38,144.73,0,0,0,3,4
1314465,1314465,KM Venkataswamy,CZK-R,KM Venkataswamy (CZK-R),2022-2022,1,1,0,55,55,55,41,134.14,0,1,0,3,2
1281565,1281565,Yasir Mehmood,CYP,Yasir Mehmood (CYP),2021-2021,4,3,3,55,31*,-,52,105.76,0,0,0,2,3
1476261,1476261,J Alexander,Falk,J Alexander (Falk),2025-2025,6,6,0,54,24,9,99,54.54,0,0,0,6,0
520256,520256,SE Aquilina,MLT,SE Aquilina (MLT),2019-2021,16,7,1,54,24,9,66,81.81,0,0,0,4,1
1203930,1203930,Arsalan Ahmed,GRC,Arsalan Ahmed (GRC),2019-2021,7,5,0,54,22,10.8,47,114.89,0,0,0,9,1
355583,355583,HS Baidwan,CAN,HS Baidwan (CAN),2008-2013,17,11,2,54,21,6,52,103.84,0,0,4,4,1
1195245,1195245,V Baskaran,SGP,V Baskaran (SGP),2019-2022,33,17,6,54,14*,4.9,89,60.67,0,0,3,0,1
420508,420508,JW Chilia,VAN,JW Chilia (VAN),2019-2019,14,7,4,54,23,18,54,100,0,0,0,3,3
295644,295644,GD Drummond,SCOT,GD Drummond (SCOT),2008-2013,17,7,0,54,35,7.71,65,83.07,0,0,2,3,0
1318856,1318856,Ismaeel Zia,SWE,Ismaeel Zia (SWE),2022-2022,8,6,0,54,22,9,68,79.41,0,0,1,6,0
1046629,1046629,E Kahamker,ISR,E Kahamker (ISR),2022-2022,4,4,0,54,19,13.5,52,103.84,0,0,0,5,1
1329699,1329699,Khawaja Nafay,PAK,Khawaja Nafay (PAK),2026-2026,4,4,0,54,26,13.5,35,154.28,0,0,0,3,3
1203230,1203230,MSS Mandy,Chile,MSS Mandy (Chile),2019-2019,4,4,0,54,32,13.5,67,80.59,0,0,0,8,0
1437206,1437206,H McAleer,IOM,H McAleer (IOM),2024-2024,5,5,0,54,23,10.8,75,72,0,0,0,3,0
1286503,1286503,AB Mengoumou,CAM,AB Mengoumou (CAM),2021-2026,14,10,2,54,22,6.75,146,36.98,0,0,2,0,0
1434877,1434877,Muhammad Burhan,HUN,Muhammad Burhan (HUN),2024-2025,11,9,0,54,16,6,46,117.39,0,0,0,5,1
1159658,1159658,AK Muslar,Blz,AK Muslar (Blz),2019-2021,9,9,2,54,15,7.71,99,54.54,0,0,2,3,2
1156257,1156257,SN Pathirana,CYP,SN Pathirana (CYP),2021-2026,20,12,5,54,16*,7.71,86,62.79,0,0,1,0,1
233802,233802,SMA Priyanjan,SL,SMA Priyanjan (SL),2017-2017,3,3,2,54,40*,54,62,87.09,0,0,0,1,2
1445607,1445607,Rashid Hashmi,CRT,Rashid Hashmi (CRT),2024-2026,6,5,0,54,28,10.8,63,85.71,0,0,1,4,1
1459919,1459919,J Thomas,STHEL,J Thomas (STHEL),2024-2026,9,6,1,54,26*,10.8,86,62.79,0,0,0,2,0
1156431,1156431,Yair Nagavkar,ISR,Yair Nagavkar (ISR),2022-2024,8,7,2,54,32*,10.8,71,76.05,0,0,1,3,0
1540251,1540251,Akhter Pacha Sher,NOR,Akhter Pacha Sher (NOR),2026-2026,3,3,0,53,53,17.66,35,151.42,0,1,2,3,5
1343333,1343333,Anik Ahmed,ITA,Anik Ahmed (ITA),2022-2022,4,4,2,53,26*,26.5,58,91.37,0,0,1,2,0
1217290,1217290,Aphsal Ashraf,KUW,Aphsal Ashraf (KUW),2020-2020,5,3,1,53,45*,26.5,32,165.62,0,0,0,1,5
1403960,1403960,PS Bais,MEX,PS Bais (MEX),2023-2026,31,17,8,53,12,5.88,80,66.25,0,0,4,3,0
1476218,1476218,R Bharathan,CRC,R Bharathan (CRC),2025-2025,6,6,0,53,16,8.83,53,100,0,0,1,4,2
447261,447261,DL Chahar,IND,DL Chahar (IND),2018-2023,25,7,5,53,31,26.5,28,189.28,0,0,1,4,4
1491839,1491839,Faisal Safi,Fran,Faisal Safi (Fran),2025-2025,4,4,0,53,43,13.25,49,108.16,0,0,1,10,0
989797,989797,J Horrocks,GIBR,J Horrocks (GIBR),2023-2026,20,9,4,53,20*,10.6,55,96.36,0,0,2,1,1
1185538,1185538,Mohammad Wasim (1),PAK,Mohammad Wasim (1) (PAK),2021-2026,34,13,9,53,12*,13.25,62,85.48,0,0,1,5,2
1500573,1500573,E Robinson,GUE,E Robinson (GUE),2025-2026,9,4,3,53,42,53,70,75.71,0,0,0,2,1
346554,346554,Sajid Patel,LES,Sajid Patel (LES),2024-2024,4,4,0,53,42,13.25,59,89.83,0,0,0,7,0
1471671,1471671,Sobu George,MLT,Sobu George (MLT),2025-2025,3,2,0,53,27,26.5,41,129.26,0,0,0,4,2
1459918,1459918,J Suleman,SWZ,J Suleman (SWZ),2024-2024,5,4,0,53,35,13.25,62,85.48,0,0,1,2,3
414249,414249,Usman Limbada,CAN,Usman Limbada (CAN),2010-2013,7,3,2,53,21*,53,41,129.26,0,0,0,6,0
1089762,1089762,DNA Ankrah,GHA/NGA,DNA Ankrah (GHA/NGA),2019-2026,10,8,1,52,24,7.42,75,69.33,0,0,2,4,1
1270823,1270823,Faisal Mehmood,BEL,Faisal Mehmood (BEL),2021-2023,5,5,0,52,23,10.4,47,110.63,0,0,1,6,2
524094,524094,RP Magar,NEP,RP Magar (NEP),2014-2015,6,6,0,52,25,8.66,89,58.42,0,0,1,0,3
1082719,1082719,ML Maiava,Samoa,ML Maiava (Samoa),2023-2025,5,3,0,52,34,17.33,50,104,0,0,0,3,0
1158761,1158761,Ovais Yousof,NGA,Ovais Yousof (NGA),2019-2019,3,3,0,52,33,17.33,70,74.28,0,0,0,5,0
1460190,1460190,S Sankar,KSA,S Sankar (KSA),2024-2024,9,5,1,52,37,13,59,88.13,0,0,1,4,0
1159165,1159165,Tian Sen Qun,CHN,Tian Sen Qun (CHN),2023-2026,13,13,0,52,12,4,127,40.94,0,0,4,1,0
1159860,1159860,Abdullah Jasat,PAN,Abdullah Jasat (PAN),2021-2023,10,10,2,51,17*,6.37,46,110.86,0,0,3,5,2
1153758,1153758,LT Bichard,GUE,LT Bichard (GUE),2020-2026,45,10,5,51,25*,10.2,64,79.68,0,0,1,4,0
23850,23850,IS Billcliff,CAN,IS Billcliff (CAN),2010-2010,2,2,0,51,37,25.5,39,130.76,0,0,0,3,2
1320553,1320553,Elias Hasan,EST,Elias Hasan (EST),2022-2025,11,9,3,51,11,8.5,52,98.07,0,0,0,3,3
364300,364300,TGJ Gruijters,NED,TGJ Gruijters (NED),2012-2013,8,5,3,51,21*,25.5,47,108.51,0,0,0,3,1
1063427,1063427,Huang Junjie,CHN,Huang Junjie (CHN),2024-2024,7,7,0,51,19,7.28,126,40.47,0,0,2,3,0
494847,494847,Junaid Siddiqui,CAN,Junaid Siddiqui (CAN),2012-2024,22,8,3,51,21,10.2,45,113.33,0,0,1,2,2
385938,385938,Kaleem Sana,CAN,Kaleem Sana (CAN),2022-2026,45,9,5,51,13*,12.75,54,94.44,0,0,0,2,3
1338636,1338636,Kuldeep Gurjar,SKOR,Kuldeep Gurjar (SKOR),2022-2026,16,10,0,51,16,5.1,88,57.95,0,0,1,0,3
1490898,1490898,JM Polarouthu,HUN,JM Polarouthu (HUN),2025-2025,5,5,2,51,22*,17,64,79.68,0,0,0,1,1
515056,515056,P Pustoslemsek,SVN,P Pustoslemsek (SVN),2022-2025,6,6,0,51,21,8.5,79,64.55,0,0,0,5,1
56093,56093,Raqibul Hasan,BAN,Raqibul Hasan (BAN),2008-2010,5,5,0,51,18,10.2,62,82.25,0,0,0,3,1
1323450,1323450,Sohail Ahmad,CRT,Sohail Ahmad (CRT),2022-2023,9,6,0,51,20,8.5,52,98.07,0,0,0,1,3
248920,248920,DC Thomas,WI,DC Thomas (WI),2009-2022,12,8,2,51,31*,8.5,54,94.44,0,0,0,4,2
625409,625409,GY Tomar,UGA,GY Tomar (UGA),2025-2025,2,2,0,51,33,25.5,45,113.33,0,0,0,4,3
254114,254114,HA Varaiya,KENYA,HA Varaiya (KENYA),2007-2013,25,12,11,51,18*,51,81,62.96,0,0,0,1,0
1186241,1186241,BA Viraliliu,VAN,BA Viraliliu (VAN),2023-2026,4,3,0,51,39,17,48,106.25,0,0,0,4,0
1093651,1093651,Zhuang Zelin,CHN,Zhuang Zelin (CHN),2023-2024,11,11,1,51,33,5.1,92,55.43,0,0,3,2,0
398666,398666,SA Abbott,AUS,SA Abbott (AUS),2014-2026,29,13,6,50,13*,7.14,49,102.04,0,0,3,4,1
1143148,1143148,Andre Jarju,GMB,Andre Jarju (GMB),2022-2024,11,11,3,50,15,6.25,109,45.87,0,0,3,5,0
928113,928113,Z Arinaitwe,UGA,Z Arinaitwe (UGA),2019-2020,6,6,0,50,15,8.33,60,83.33,0,0,0,8,1
