cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,5,10
48472,48472,TM Dilshan,SL,TM Dilshan (SL),1999-2016,330,204,5880,NA,NA,4778,106,4/4,NA,45.07,4.87,55.4,3,0,NA
46569,46569,A Nel,SA,A Nel (SA),2001-2008,79,76,3801,NA,NA,2935,106,5/45,NA,27.68,4.63,35.8,3,1,NA
24599,24599,WB Rankin,ENG/IRE,WB Rankin (ENG/IRE),2007-2020,75,73,3702,NA,NA,2955,106,4/15,NA,27.87,4.78,34.9,4,0,NA
7326,7326,PR Reiffel,AUS,PR Reiffel (AUS),1992-1999,92,92,4732,NA,NA,3096,106,4/13,NA,29.2,3.92,44.6,5,0,NA
376116,376116,UT Yadav,IND,UT Yadav (IND),2010-2018,75,73,3558,NA,NA,3565,106,4/31,NA,33.63,6.01,33.5,4,0,NA
55429,55429,GW Flower,ZIM,GW Flower (ZIM),1992-2010,221,156,5462,NA,NA,4225,104,4/32,NA,40.62,4.64,52.5,2,0,NA
20431,20431,GP Swann,ENG,GP Swann (ENG),2000-2013,79,76,3809,NA,NA,2888,104,5/28,NA,27.76,4.54,36.6,3,1,NA
6295,6295,DK Lillee,AUS,DK Lillee (AUS),1972-1983,63,63,3593,NA,NA,2145,103,5/34,NA,20.82,3.58,34.8,5,1,NA
38133,38133,C Pringle,NZ,C Pringle (NZ),1990-1995,64,64,3314,NA,NA,2459,103,5/45,NA,23.87,4.45,32.1,2,1,NA
210283,210283,ST Finn,ENG,ST Finn (ENG),2011-2017,69,67,3550,NA,NA,2996,102,5/33,NA,29.37,5.06,34.8,4,2,NA
681305,681305,Hasan Ali,PAK,Hasan Ali (PAK),2016-2025,68,66,3286,NA,NA,3179,102,5/34,NA,31.16,5.8,32.2,2,4,NA
937953,937953,Bilal Khan,OMA,Bilal Khan (OMA),2019-2024,49,49,2510,NA,NA,2118,101,5/31,NA,20.97,5.06,24.8,4,4,NA
55343,55343,E Chigumbura,Afr/ZIM,E Chigumbura (Afr/ZIM),2004-2018,213,132,4339,NA,NA,4274,101,4/28,NA,42.31,5.91,42.9,1,0,NA
