cricinfo_id,unique_player_id,final_player_name,source_country_text
5449,5449,ATW Grout,AUS
244497,244497,AU Rashid,ENG
1323401,1323401,AUKDS Kalugala,CYP
9057,9057,AV Bedser,ENG
29998,29998,AV Kale,IND
543449,543449,AV Lalcheta,OMA
1418085,1418085,AV Lazarus,THA
30938,30938,AV Mankad,IND
24729,24729,AV Vadher,KENYA
44121,44121,AW Briscoe,SA
10666,10666,AW Carr,ENG
13463,13463,AW Greig,ENG
370033,370033,AW Hawkins-Kay,JER
355267,355267,AW Mathieson,NZ
17059,17059,AW Mold,ENG
46590,46590,AW Nourse,SA
46725,46725,AW Palm,SA
46782,46782,AW Powell,SA
38254,38254,AW Roberts,NZ
47173,47173,AW Seccull,SA
22357,22357,AW Wellard,ENG
53223,53223,AW White,WI
1275056,1275056,AWJ Auguste,WI
24699,24699,AY Karim,KENYA
595783,595783,AY Patel,NZ
460756,460756,AZ Lees,ENG
1447221,1447221,AZ Shah,Fiji
1426417,1426417,Aadil Bhaiyat,SWZ
1444109,1444109,Aaditya Varadarajan,CAN
1269467,1269467,Aaftab Alam Khan,MLT
1185557,1185557,Aakash Chand,NEP
38963,38963,Aamer Hameed,PAK
38964,38964,Aamer Hanif,PAK
1204633,1204633,Aamer Ikram,POR
793441,793441,Aamer Jamal,PAK
38965,38965,Aamer Malik,PAK
38966,38966,Aamer Nazir,PAK
38967,38967,Aamer Sohail,PAK
434429,434429,Aamer Yamin,PAK
455463,455463,Aamir Kaleem,OMA
1338631,1338631,Aamir Lal,SKOR
1263721,1263721,Aanand Pandey,LUX
38970,38970,Aaqib Javed,PAK
701217,701217,Aarif Sheikh,NEP
1425319,1425319,Aarnav Patel,KENYA
957645,957645,Aaron Jones,USA
1058514,1058514,Aasif Sheikh,NEP
1241265,1241265,Aayan Afzal Khan,UAE
1158538,1158538,Abbas Afridi,PAK
1390687,1390687,Abbas Ghani,HUN
362682,362682,Abbas Saad,KSA
1304665,1304665,Abdollah Ahmadzai,AFG
1380794,1380794,Abdul Bashir,GER
1182029,1182029,Abdul Gaffar Saqlain,BAN
1437533,1437533,Abdul Hai Muhammad,BEL
1062588,1062588,Abdul Hashmi,DEN
313526,313526,Abdul Jabbar,CAN
1537909,1537909,Abdul Jalil,OMA
38971,38971,Abdul Kadir,PAK
710767,710767,Abdul Majid,BHR
1217275,1217275,Abdul Majid Malik,BHR
1509242,1509242,Abdul Makda,PAN
1059030,1059030,Abdul Malik (1),AFG
1318851,1318851,Abdul Naser Baluch,SWE
38973,38973,Abdul Qadir,PAK
819507,819507,Abdul Rahman,AFG
1048915,1048915,Abdul Rahman,SGP
1325901,1325901,Abdul Rahman,Fran
1198875,1198875,Abdul Rahman,AUT
1156424,1156424,Abdul Rashid,BEL
1538505,1538505,Abdul Rauf,BHR
39836,39836,Abdul Razzaq,PAK
39836,39836,Abdul Razzaq,Asia/PAK
25580,25580,Abdul Rehman,UAE
402112,402112,Abdul Salam Khan,KSA
1073106,1073106,Abdul Samad,PAK
1431566,1431566,Abdul Samad,JPN
585100,585100,Abdul Shakoor,UAE
1198937,1198937,Abdul Shakoor,ROM
1318791,1318791,Abdul Stanikzai,GER
402106,402106,Abdul Waheed,KSA
1172281,1172281,Abdul Wahid,KSA
974173,974173,Abdul Wasi,AFG
1156489,1156489,Abdul-Shakoor Rahimzei,GER
1435272,1435272,Abduljabar Jabarkhail,BEL
1287102,1287102,Abdulla Bhoola,PAN
1538503,1538503,Abdulla Pervaiz,BHR
1323408,1323408,Abdulla Popalzae,GRC
1198877,1198877,Abdullah Akbarjan,AUT
1398224,1398224,Abdullah Fazal,PAK
1159860,1159860,Abdullah Jasat,PAN
1437349,1437349,Abdullah Khan Lodhi,TKY
1112200,1112200,Abdullah Mahmood,DEN
390752,390752,Abdullah Mazari,AFG
1495496,1495496,Abdullah Mohd Yousaf,BHR
1386878,1386878,Abdullah Rana,SUI
922941,922941,Abdullah Shafique,PAK
386982,386982,Abdullah Shahid,MDV
1156435,1156435,Abdullah Sheikh,NOR
1513982,1513982,Abdullahi Ismail,NGA
1271987,1271987,Abdulmalik Jabarkhel,Fran
335850,335850,Abdur Rahman Sudais,SWE
39084,39084,Abdur Rauf,PAK
56283,56283,Abdur Razzak,BAN
39091,39091,Abdur Rehman,PAK
1536763,1536763,Abdurrahman Ahmadzai,Fran
1204125,1204125,Abhijeet Ahuja,HUN
1454413,1454413,Abhilash Patil,MEX
1204126,1204126,Abhishek Ahuja,HUN
1484957,1484957,Abhishek Anand,JPN
1070183,1070183,Abhishek Sharma,IND
39950,39950,Abid Ali,PAK
1361961,1361961,Abid Ullah Shah,BHR
1543032,1543032,Abidullah Kotwa,AUT
1527494,1527494,Abraar Khan,LES
650561,650561,Abraash Khan,CAN
734459,734459,Abrar Ahmed,PAK
1198872,1198872,Abrar Bilal,AUT
1283168,1283168,Absar Khan,DEN
550137,550137,Abu Hider,BAN
410763,410763,Abu Jayed,BAN
271996,271996,Abu Zar,SWE
1143150,1143150,Abubacarr Kuyateh,GMB
1230636,1230636,Abul Farhad,CZK-R
373439,373439,Abul Hasan,BAN
1492933,1492933,Acrey Hugo,TAN
1418677,1418677,Adam Khalaf,MDV
1497625,1497625,Adam Senn,CYP
1532751,1532751,Adeeb Usmani,UAE
24978,24978,Adeel Raja,NED
1384853,1384853,Adeel Tariq,AUT
1217431,1217431,Adel Kolasangiani,Iran
1534259,1534259,Adeshlie Alias,MAS
1241218,1241218,Adhitya Shetty,UAE
1347279,1347279,Adil Butt,SWZ
1217293,1217293,Adil Butt,KSA
39100,39100,Adil Hanif,BHR
1380793,1380793,Adil Khan,GER
1535273,1535273,Adil Latheef,MLT
1400311,1400311,Aditya Panwar,EST
39038,39038,Adnan Akmal,PAK
1535274,1535274,Adnan Anwar,MLT
1437207,1437207,Adnan Gondal,POR
307817,307817,Adnan Idrees,KUW
26038,26038,Adnan Ilyas,OMA
1209272,1209272,Adnan Mirza,QAT
