unique_player_id,format,HasBowlingDetail,DetailBalls,DetailMaidens,DetailRunsConceded,DetailOvers
44656,test,TRUE,12,0,16,2.0
446690,odi,TRUE,209,0,176,34.5
44673,test,TRUE,710,7,490,118.2
44676,test,TRUE,640,7,481,106.4
446807,odi,FALSE,NA,NA,NA,NA
446810,odi,TRUE,264,0,224,44.0
446810,test,TRUE,174,7,76,29.0
44682,odi,TRUE,901,11,715,150.1
44682,test,TRUE,252,14,117,42.0
44683,test,TRUE,1210,41,578,201.4
44685,test,FALSE,NA,NA,NA,NA
446860,odi,TRUE,198,3,130,33.0
44689,test,TRUE,216,8,92,36.0
44696,odi,TRUE,4422,86,2636,737.0
44696,test,TRUE,4805,221,2063,800.5
44708,odi,FALSE,NA,NA,NA,NA
44708,test,TRUE,12,1,1,2.0
44709,test,TRUE,240,6,118,40.0
44716,odi,TRUE,8561,101,5926,1426.5
44716,test,TRUE,15519,661,7344,2586.3
44719,test,FALSE,NA,NA,NA,NA
44721,test,FALSE,NA,NA,NA,NA
447261,odi,TRUE,510,5,489,85.0
44727,test,FALSE,NA,NA,NA,NA
447290,odi,TRUE,264,1,257,44.0
44730,test,TRUE,816,40,336,136.0
44731,test,TRUE,60,0,39,10.0
44732,test,FALSE,NA,NA,NA,NA
44738,test,TRUE,144,12,51,24.0
44743,test,TRUE,102,5,47,17.0
447458,odi,FALSE,NA,NA,NA,NA
44747,test,FALSE,NA,NA,NA,NA
44752,odi,FALSE,NA,NA,NA,NA
447587,odi,TRUE,84,0,61,14.0
447587,test,TRUE,825,28,465,137.3
448243,odi,TRUE,463,2,464,77.1
44828,odi,TRUE,192,0,189,32.0
44828,test,TRUE,78,0,69,13.0
44851,odi,TRUE,546,4,371,91.0
4493,odi,FALSE,NA,NA,NA,NA
4493,test,TRUE,66,0,52,11.0
44930,test,TRUE,426,19,186,71.0
44932,odi,TRUE,3513,9,3143,585.3
44932,test,TRUE,2703,48,1601,450.3
44936,odi,TRUE,192,0,202,32.0
44936,test,TRUE,204,6,104,34.0
44954,odi,TRUE,222,3,181,37.0
44954,test,TRUE,1536,97,494,256.0
44955,test,TRUE,66,2,46,11.0
44956,odi,TRUE,1302,8,1179,217.0
44956,test,TRUE,282,9,140,47.0
44960,odi,TRUE,1702,29,1235,283.4
44960,test,TRUE,867,35,444,144.3
44964,test,FALSE,NA,NA,NA,NA
450075,odi,TRUE,330,0,293,55.0
450101,odi,TRUE,161,0,149,26.5
450101,test,TRUE,336,11,170,56.0
45037,test,FALSE,NA,NA,NA,NA
45039,test,TRUE,4227,124,2180,704.3
45041,test,TRUE,114,1,61,19.0
45048,test,FALSE,NA,NA,NA,NA
45051,test,TRUE,18,0,7,3.0
45057,test,TRUE,48,2,24,8.0
45072,test,FALSE,NA,NA,NA,NA
45074,test,TRUE,684,36,225,114.0
45075,test,FALSE,NA,NA,NA,NA
45076,test,TRUE,69,3,52,11.3
45078,test,FALSE,NA,NA,NA,NA
4508,odi,TRUE,1942,28,1482,323.4
4508,test,TRUE,2401,78,1296,400.1
45080,test,TRUE,1676,61,668,279.2
45081,test,FALSE,NA,NA,NA,NA
450860,odi,TRUE,2242,8,2027,373.4
4516,test,TRUE,471,33,142,78.3
4517,odi,TRUE,180,2,148,30.0
4517,test,TRUE,330,5,191,55.0
451947,odi,TRUE,996,7,731,166.0
452044,test,TRUE,345,10,180,57.3
45214,test,FALSE,NA,NA,NA,NA
45224,odi,FALSE,NA,NA,NA,NA
45224,test,TRUE,6,0,4,1.0
4523,odi,TRUE,613,9,404,102.1
4523,test,TRUE,951,29,503,158.3
45231,test,FALSE,NA,NA,NA,NA
45232,test,TRUE,78,4,28,13.0
45234,test,TRUE,10612,706,3226,1768.4
45239,test,TRUE,1476,28,807,246.0
45242,test,TRUE,288,13,127,48.0
45246,test,FALSE,NA,NA,NA,NA
45247,test,TRUE,432,14,192,72.0
452472,odi,TRUE,337,8,167,56.1
4527,odi,FALSE,NA,NA,NA,NA
4531,test,FALSE,NA,NA,NA,NA
453274,test,FALSE,NA,NA,NA,NA
