unique_player_id,format,HasBattingDetail,DetailBallsFaced,DetailFours,DetailSixes
15910,test,TRUE,687,94,3
15911,test,TRUE,0,3,0
15913,odi,TRUE,5085,327,21
15913,test,TRUE,1661,74,2
15917,odi,TRUE,247,17,1
15917,test,TRUE,8870,491,6
15921,test,TRUE,0,0,0
16172,test,TRUE,296,43,2
16178,odi,TRUE,5308,328,30
16178,test,TRUE,9058,618,20
16195,test,TRUE,0,0,0
16203,odi,TRUE,1047,67,3
16203,test,TRUE,1366,51,1
16205,test,TRUE,0,1,0
16207,test,TRUE,653,42,2
16212,test,TRUE,200,8,0
16219,odi,FALSE,NA,NA,NA
16219,test,TRUE,145,7,0
16235,test,TRUE,0,0,0
16242,test,TRUE,0,9,0
16249,test,TRUE,0,0,0
16253,test,TRUE,0,23,0
16258,test,TRUE,0,6,0
16260,odi,TRUE,152,2,0
16260,test,TRUE,1198,26,1
16262,odi,TRUE,24,0,0
16262,test,TRUE,811,32,1
16265,test,TRUE,0,0,0
16271,test,TRUE,558,51,1
16274,odi,TRUE,459,25,6
16274,test,TRUE,2421,137,6
16281,odi,TRUE,63,4,0
16281,test,TRUE,45,5,0
16287,test,TRUE,4266,209,7
16293,test,TRUE,1,35,0
16296,test,TRUE,21,1,0
16318,odi,TRUE,526,25,1
16318,test,TRUE,1342,54,0
16320,odi,TRUE,80,1,0
16322,odi,TRUE,228,3,0
16322,test,TRUE,17,1,0
16324,test,TRUE,18,6,0
16328,test,TRUE,0,7,0
16331,test,TRUE,646,68,1
16337,test,TRUE,59,13,1
16352,odi,TRUE,100,7,0
16360,test,TRUE,0,0,0
16362,odi,TRUE,184,19,5
16364,test,TRUE,258,7,0
16370,odi,TRUE,69,1,0
16370,test,TRUE,3633,136,1
16378,odi,TRUE,32,1,0
16385,test,TRUE,183,4,0
16388,odi,TRUE,0,0,0
16406,odi,TRUE,203,12,3
16738,test,TRUE,0,0,0
16857,test,TRUE,0,10,0
16858,test,FALSE,NA,NA,NA
16862,test,TRUE,0,2,0
16867,test,TRUE,1,0,0
16871,test,TRUE,2,148,0
16876,odi,TRUE,206,10,0
