cricinfo_id,unique_player_id,final_player_name,source_country_text,espn_profile_found,espn_full_name,espn_display_name,espn_first_name,espn_last_name,espn_date_of_birth,espn_is_active,espn_active_status,standard_batting_code,standard_batting_style,standard_bowling_code,standard_bowling_style,espn_playing_role,espn_playing_role_id,espn_country_name,espn_major_teams
6502,6502,RW Marsh,AUS,True,Rodney William Marsh,Rod Marsh,Rod,Marsh,1947-11-04,False,inactive,LHB,Left Hand Bat,OB,Right Arm Off Break,Wicketkeeper batter,WBT,Australia,Australia|Western Australia
6585,6585,RW McLeod,AUS,True,Robert William McLeod,Bob McLeod,Bob,McLeod,1868-01-19,False,inactive,LHB,Left Hand Bat,RM,Right Arm Medium,Unknown,UKN,Australia,Australia|Victoria
37727,37727,RW Morgan,NZ,True,Ross Winston Morgan,Ross Morgan,Ross,Morgan,1941-02-12,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,New Zealand,New Zealand|Auckland
55698,55698,RW Price,ZIM,True,Raymond William Price,Ray Price,Ray,Price,1976-06-12,True,active,RHB,Right Hand Bat,SLA,Slow Left Arm Orthodox,Bowler,BL,Zimbabwe,Zimbabwe|Mashonaland Country Districts|Mashonaland Eagles|Midlands|Mumbai Indians|Northerns (Zimbabwe)|Worcestershire|Zimbabwe XI
55774,55774,RW Sims,ZIM,True,Richard William Sims,Richard Sims,Richard,Sims,1979-07-23,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,Zimbabwe,Zimbabwe|Manicaland|Zimbabwe Cricket Academy
25643,25643,RW Staple,USA,True,Richard Wayne Staple,Richard Staple,Richard,Staple,1969-11-25,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,United States of America,United States of America|Jamaica
21494,21494,RW Taylor,ENG,True,Robert William Taylor,Bob Taylor,Bob,Taylor,1941-07-17,False,inactive,RHB,Right Hand Bat,RM,Right Arm Medium,Wicketkeeper batter,WBT,England,England|Derbyshire
21550,21550,RW Tolchard,ENG,True,Roger William Tolchard,Roger Tolchard,Roger,Tolchard,1946-06-15,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,England,England|Leicestershire
36953,36953,RWG Emery,NZ,True,Raymond William George Emery,Ray Emery,Ray,Emery,1915-03-28,False,inactive,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,New Zealand,New Zealand|Auckland|Canterbury
15876,15876,RWT Key,ENG,True,Robert William Trevor Key,Rob Key,Rob,Key,1979-05-12,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Top-order batter,TBT,England,England|Kent|Marylebone Cricket Club
19450,19450,RWV Robins,ENG,True,Robert Walter Vivian Robins,Walter Robins,Walter,Robins,1906-06-03,False,inactive,RHB,Right Hand Bat,LB,Leg Break,Unknown,UKN,England,England|Cambridge University|Middlesex
919539,919539,Raag Kapur,HKG,True,Raag Kapur,Raag Kapur,Raag,Kapur,1999-02-22,True,active,RHB,Right Hand Bat,RMF,Right Arm Medium Fast,Unknown,UKN,Hong Kong,Hong Kong Cricket Association Under-19s|Hong Kong Cricket Club
403327,403327,Raaz Mohammad,FIN,True,Raaz Mohammad,Raaz Mohammad,Raaz,Mohammad,1992-01-05,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Finland,Finland
