cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,format
50429,50429,KJ Silva,SL,KJ Silva (SL),1995-1995,1,1,0,0,0,0,0,0,0,odi
20193,20193,CEW Silverwood,ENG,CEW Silverwood (ENG),1996-2001,7,7,0,0,0,0,0,0,0,odi
633410,633410,Simandeep Singh,HKG,Simandeep Singh (HKG),2018-2018,1,1,0,0,0,0,0,0,0,odi
1460485,1460485,Simranjeet Singh,UAE,Simranjeet Singh (UAE),2025-2025,6,6,0,0,0,0,0,0,0,odi
34057,34057,RP Singh,IND,RP Singh (IND),1986-1986,2,2,0,0,0,0,0,0,0,odi
208252,208252,Skhawat Ali,HKG,Skhawat Ali (HKG),2008-2014,4,4,0,0,0,0,0,0,0,odi
20206,20206,WN Slack,ENG,WN Slack (ENG),1986-1986,2,2,0,0,0,0,0,0,0,odi
20233,20233,CL Smith,ENG,CL Smith (ENG),1984-1984,4,4,0,0,0,0,0,0,0,odi
20235,20235,DM Smith,ENG,DM Smith (ENG),1986-1990,2,2,0,0,0,0,0,0,0,odi
333029,333029,M Smith,BER,M Smith (BER),2008-2008,1,1,0,0,0,0,0,0,0,odi
25113,25113,MJ Smith,SCOT,MJ Smith (SCOT),1999-1999,5,5,0,0,0,0,0,0,0,odi
458897,458897,RAJ Smith,SCOT,RAJ Smith (SCOT),2016-2016,2,2,0,0,0,0,0,0,0,odi
24827,24827,G Snyman,NAM,G Snyman (NAM),2003-2003,5,5,0,0,0,0,0,0,0,odi
1508989,1508989,Sohaib Khan,UAE,Sohaib Khan (UAE),2025-2025,4,4,0,0,0,0,0,0,0,odi
25546,25546,Sohail Butt,UAE,Sohail Butt (UAE),1994-1994,2,2,0,0,0,0,0,0,0,odi
740153,740153,IS Sohi,CAN,IS Sohi (CAN),2024-2024,2,2,0,0,0,0,0,0,0,odi
34086,34086,S Somasunder,IND,S Somasunder (IND),1996-1996,2,2,0,0,0,0,0,0,0,odi
1443393,1443393,K Sonavale,OMA,K Sonavale (OMA),2024-2024,3,3,0,0,0,0,0,0,0,odi
34109,34109,TE Srinivasan,IND,TE Srinivasan (IND),1980-1981,2,2,0,0,0,0,0,0,0,odi
1415052,1415052,U Srivastava,USA,U Srivastava (USA),2024-2024,2,2,0,0,0,0,0,0,0,odi
25643,25643,RW Staple,USA,RW Staple (USA),2004-2004,2,2,0,0,0,0,0,0,0,odi
24956,24956,NA Statham,NED,NA Statham (NED),2003-2009,3,3,0,0,0,0,0,0,0,odi
23792,23792,MP Stead,CAN,MP Stead (CAN),1979-1979,2,2,0,0,0,0,0,0,0,odi
23760,23760,RD Steede,BER,RD Steede (BER),2006-2008,8,8,0,0,0,0,0,0,0,odi
20345,20345,DS Steele,ENG,DS Steele (ENG),1976-1976,1,1,0,0,0,0,0,0,0,odi
370034,370034,BDH Stevens,JER,BDH Stevens (JER),2023-2023,1,1,0,0,0,0,0,0,0,odi
38418,38418,SL Stewart,NZ,SL Stewart (NZ),2010-2010,4,4,0,0,0,0,0,0,0,odi
47242,47242,PJR Steyn,SA,PJR Steyn (SA),1995-1995,1,1,0,0,0,0,0,0,0,odi
301847,301847,Subashis Roy,BAN,Subashis Roy (BAN),2016-2016,1,1,0,0,0,0,0,0,0,odi
437438,437438,P Subrayen,SA,P Subrayen (SA),2025-2025,2,2,0,0,0,0,0,0,0,odi
402066,402066,Sufyan Mehmood,OMA,Sufyan Mehmood (OMA),2021-2025,8,8,0,0,0,0,0,0,0,odi
1329697,1329697,Sufyan Moqim,PAK,Sufyan Moqim (PAK),2024-2025,4,4,0,0,0,0,0,0,0,odi
1481835,1481835,Sukhjinder Singh,CAN,Sukhjinder Singh (CAN),2026-2026,2,2,0,0,0,0,0,0,0,odi
873769,873769,Sultan Ahmed,UAE,Sultan Ahmed (UAE),2019-2019,2,2,0,0,0,0,0,0,0,odi
38411,38411,GP Sulzberger,NZ,GP Sulzberger (NZ),2000-2000,3,3,0,0,0,0,0,0,0,odi
23974,23974,S Sumar,EAf,S Sumar (EAf),1975-1975,1,1,0,0,0,0,0,0,0,odi
380974,380974,Sunzamul Islam,BAN,Sunzamul Islam (BAN),2017-2018,3,3,0,0,0,0,0,0,0,odi
1161018,1161018,Surya Tamang,NEP,Surya Tamang (NEP),2024-2024,2,2,0,0,0,0,0,0,0,odi
24846,24846,SJ Swanepoel,NAM,SJ Swanepoel (NAM),2003-2003,5,5,0,0,0,0,0,0,0,odi
590326,590326,MJ Swepson,AUS,MJ Swepson (AUS),2022-2022,3,3,0,0,0,0,0,0,0,odi
927619,927619,Khaled Ahmed,BAN,Khaled Ahmed (BAN),2023-2023,2,2,0,0,0,0,0,0,0,odi
24139,24139,Tabarak Dar,HKG,Tabarak Dar (HKG),2004-2008,4,4,0,0,0,0,0,0,0,odi
38608,38608,AR Tait,NZ,AR Tait (NZ),1998-1999,5,5,0,0,0,0,0,0,0,odi
43274,43274,Tanvir Mehdi,PAK,Tanvir Mehdi (PAK),1992-1992,1,1,0,0,0,0,0,0,0,odi
23793,23793,Tariq Javed,CAN,Tariq Javed (CAN),1979-1979,3,3,0,0,0,0,0,0,0,odi
