team_id,team_name,team_display_name,team_short_display_name,team_abbreviation,team_slug
315248,Combined Campuses and Colleges,Combined Campuses and Colleges,CC&C,CC&C,combined-campuses-and-colleges
3189,Combined Gauteng-North West XI,Combined Gauteng-North West XI,,,combined-gauteng-north-west-xi
3733,Combined Islands,Combined Islands,,,combined-islands
523350,Combined Provinces,Combined Provinces,C-PRO,C-PRO,combined-provinces
886,Combined Universities,Combined Universities,CUniv,CUniv,combined-universities
935277,Comilla Victorians,Comilla Victorians,CV,CV,comilla-victorians
71,Cook Islands,Cook Islands,COK,COK,cook-islands
218210,Costa Rica,Costa Rica,CRC,CRC,costa-rica
262,Cricket Australia Chairman's XI,Cricket Australia Chairman's XI,CAC,CAC,cricket-australia-chairmans-xi
684287,Cricket Australia Invitation XI,Cricket Australia Invitation XI,INVXI,INVXI,cricket-australia-invitation-xi
786485,Cricket Australia XI,Cricket Australia XI,CAXI,CAXI,cricket-australia-xi
1628,Cricket Club of India,Cricket Club of India,CCInd,CCInd,cricket-club-of-india
1630,Cricket Club of India President's XI,Cricket Club of India President's XI,,,cricket-club-of-india-presidents-xi
430681,Cricket Coaching School,Cricket Coaching School,CCS,CCS,cricket-coaching-school
1058792,Cricket Hong Kong Independents XI,Cricket Hong Kong Independents XI,CHKI,CHKI,cricket-hong-kong-independents-xi
1075499,Cricket South Africa Invitation XI,Cricket South Africa Invitation XI,SA-XI,SA-XI,cricket-south-africa-invitation-xi
72,Croatia,Croatia,CRT,CRT,croatia
898,Cumberland,Cumberland,CUMLD,CUMLD,cumberland
1211387,Cumilla Warriors,Cumilla Warriors,CW,CW,cumilla-warriors
74,Cyprus,Cyprus,CYP,CYP,cyprus
75,Czech Republic,Czech Republic,CZK-R,CZK-R,czech-republic
364484,D Ganga's XI,D Ganga's XI,,,d-gangas-xi
1306,DH Robins' XI,DH Robins' XI,,,dh-robins-xi
364489,DJ Bravo's XI,DJ Bravo's XI,,,dj-bravos-xi
2678,Dacca University,Dacca University,,,dacca-university
1097993,Dambulla,Dambulla,DAM,DAM,dambulla
1238375,Dambulla Thunders,Dambulla Thunders,DAT,DAT,dambulla-thunders
288588,Dandenong,Dandenong,Dand,Dand,dandenong
930543,Danube Lions,Danube Lions,Danub,Danub,danube-lions
2682,Dawood Club,Dawood Club,,,dawood-club
3545,De Mazenod College,De Mazenod College,,,de-mazenod-college
335980,Deccan Chargers,Deccan Chargers,DCH,DCH,deccan-chargers
1204574,Deccan Gladiators,Deccan Gladiators,DG,DG,deccan-gladiators
1668,Delhi,Delhi,DELHI,DELHI,delhi
1129281,Delhi Bulls,Delhi Bulls,DB,DB,delhi-bulls
335975,Delhi Capitals,Delhi Capitals,DC,DC,delhi-capitals
316591,Delhi Giants,Delhi Giants,Giant,Giant,delhi-giants
1672,Delhi Under-16s,Delhi Under-16s,,,delhi-under-16s
1673,Delhi Under-19s,Delhi Under-19s,Del19,Del19,delhi-under-19s
13,Denmark,Denmark,DEN,DEN,denmark
769,Denmark A,Denmark A,DEN-A,DEN-A,denmark-a
770,Denmark Under-13s,Denmark Under-13s,,,denmark-under-13s
771,Denmark Under-15s,Denmark Under-15s,,,denmark-under-15s
772,Denmark Under-17s,Denmark Under-17s,,,denmark-under-17s
773,Denmark Under-19s,Denmark Under-19s,DEN19,DEN19,denmark-under-19s
303394,Denmark Under-23s,Denmark Under-23s,,,denmark-under-23s
713883,Dera Murad Jamali Ibexes,Dera Murad Jamali Ibexes,DMJI,DMJI,dera-murad-jamali-ibexes
904,Derbyshire,Derbyshire,DER,DER,derbyshire
905,Derbyshire 2nd XI,Derbyshire 2nd XI,De2XI,De2XI,derbyshire-2nd-xi
1208513,Desert Riders,Desert Riders,DR,DR,desert-riders
1346066,Desert Vipers,Desert Vipers,DV,DV,desert-vipers
909,Devon,Devon,Devon,Devon,devon
462442,Devon Under-13s,Devon Under-13s,,,devon-under-13s
512631,Devon Under-14s,Devon Under-14s,,,devon-under-14s
462443,Devon Under-15s,Devon Under-15s,,,devon-under-15s
910,Devon Under-17s,Devon Under-17s,,,devon-under-17s
1459536,Dhaka Capitals,Dhaka Capitals,DKA,DKA,dhaka-capitals
682,Dhaka Division,Dhaka Division,DHA,DHA,dhaka-division
988805,Dhaka Division South Under-18s,Dhaka Division South Under-18s,DDS18,DDS18,dhaka-division-south-under-18s
942837,Dhaka Dominators,Dhaka Dominators,DHD,DHD,dhaka-dominators
